SURNUM ID,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22,Question23,Question24,Question25,Question26,Question27,Question28,Question29,Question30,Question31,Question32,Question33,Question34,Question35,Gender,Citizenship,Region,Medalist,School,HS Type,SAT Verbal,SAT Math,SAT Score,ACT Composite,,Registered Spr 14,201309_INST_TERM_GPA,201401_INST_TERM_GPA,CURRENT_TOTAL_INST_GPA_May_2014,Returned Fall 2014,Returned Spring 2015,Fall 2014 GPA,CURRENT_TOTAL_INST_GPA_Fall_2014,,,,,,,,,,,,,,,,,
46,4,4,3,1,1,1,2,2,1,1,1,5,4,2,1,3,4,4,3,3,1,5,5,5,2,4,4,3,5,2,5,2,1,5,5,2,3,Northeast,2,6,Parochial,630,760,1390,,,1,2.50,1.19,1.94,1,,2.00,1.96,,,,,,,,,,,,,,,,,
47,2,2,5,1,1,1,1,1,1,2,1,3,4,3,2,5,3,5,3,4,4,3,5,3,3,4,3,2,2,2,5,3,3,2,3,2,3,Non-Northeast,2,2,Private,720,690,1410,,,0,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,
48,2,2,1,2,2,3,2,2,2,1,5,3,5,2,1,4,2,3,5,5,1,2,1,4,3,5,4,1,1,2,5,5,5,4,5,1,3,Northeast,2,3,Public,,,,29,,1,2.27,2.97,2.56,1,1,3.25,3.28,,,,,,,,,,,,,,,,,
49,2,2,2,3,2,2,2,2,3,3,2,2,2,2,1,4,2,5,5,4,1,2,5,3,3,5,1,2,2,4,5,1,1,1,4,2,1,Non-Northeast,2,7,Public,470,780,1250,,,1,2.93,2.75,2.85,1,1,3.20,3.15,,,,,,,,,,,,,,,,,
50,2,2,1,3,3,4,4,3,4,4,1,5,4,3,1,4,4,5,5,4,1,2,5,4,3,4,3,5,5,4,5,2,5,3,5,2,2,Northeast,1,6,Public,540,700,1240,,,1,3.42,2.38,2.93,1,1,3.09,3.06,,,,,,,,,,,,,,,,,
51,2,2,1,2,2,1,2,2,3,1,5,5,4,3,1,4,3,5,3,5,1,4,5,3,3,3,3,2,3,3,4,3,2,1,2,2,3,Northeast,2,6,Public,660,770,1430,,,1,3.92,4.00,3.95,1,1,3.77,3.86,,,,,,,,,,,,,,,,,
52,2,3,5,2,3,1,2,1,3,1,1,5,4,4,1,5,2,5,5,5,1,2,5,5,3,3,1,4,5,1,5,2,1,3,3,2,3,Northeast,2,6,Public,720,690,1410,,,1,3.73,3.20,3.47,1,1,3.47,3.42,,,,,,,,,,,,,,,,,
53,2,2,2,1,2,2,2,2,2,1,5,4,5,3,1,4,2,4,5,4,3,2,5,3,3,4,1,2,2,2,5,3,3,2,2,1,3,Northeast,2,1,Public,,,,24,,1,2.15,2.31,2.23,1,1,1.22,2.01,,,,,,,,,,,,,,,,,
54,2,2,1,1,1,2,1,2,2,2,5,4,3,4,1,5,2,3,3,3,1,4,3,3,3,4,4,1,1,2,5,5,1,3,5,1,3,Northeast,1,3,Private,,,,29,,1,3.04,3.42,3.22,1,1,3.16,3.20,,,,,,,,,,,,,,,,,
55,3,3,1,1,1,1,2,1,1,1,3,3,4,3,1,4,3,5,5,5,1,2,5,3,3,5,4,4,5,2,5,4,5,3,3,2,3,Northeast,2,2,Public,660,740,1400,,,1,2.92,2.92,2.92,1,1,3.00,3.03,,,,,,,,,,,,,,,,,
